relative_time,AccX,AccY,AccZ
0,-0.2968900799751282,1.381496548652649,9.847652435302734
26,-0.31604427099227905,1.0654523372650146,10.288198471069336
71,,0.8786988258361816,
72,-0.17238777875900269,,10.082291603088379
137,-0.3591412305831909,1.4341706037521362,9.85244083404541
201,-0.38787251710891724,1.3719195127487183,9.648927688598633
252,,1.209108829498291,
253,-0.42857518792152405,,10.21397590637207
318,-0.5818088054656982,1.6927522420883179,9.103033065795898
389,-0.6320885419845581,1.6664152145385742,9.66089916229248
434,-0.8691217303276062,1.8555629253387451,
435,,,9.725543975830078
492,,2.0638649463653564,
493,-0.6584255695343018,,9.854835510253906
553,,1.7143007516860962,
554,-0.8475732803344727,,10.048770904541016
615,-0.6895511150360107,1.812466025352478,10.539597511291504
675,,1.393467903137207,
676,-0.44533511996269226,,10.33368968963623
734,,1.0846065282821655,
735,-0.4477293789386749,,10.891555786132812
803,0.16759923100471497,0.1412622183561325,8.791776657104492
867,0.27534160017967224,-0.19154198467731476,10.051165580749512
915,,0.6799740195274353,
916,-0.11971373856067657,,9.105426788330078
981,-0.22506183385849,0.876304566860199,9.09345531463623
1056,-0.39266106486320496,0.7685621976852417,9.878777503967285
1096,-0.3064671754837036,1.0678465366363525,9.572310447692871
1158,-0.2897072434425354,1.3455824851989746,
1159,,,9.605830192565918
1222,-0.34477555751800537,1.4676904678344727,10.11102294921875
1289,,1.5586729049682617,
1290,-0.29210153222084045,,10.496500968933105
1339,,1.922602653503418,
1340,-0.6584255695343018,,10.000885963439941
1413,-0.7278595566749573,0.23942747712135315,12.153339385986328
1461,-0.5530774593353271,0.7589851021766663,9.560338973999023
1528,-1.101366400718689,0.6081457734107971,9.098244667053223
1592,-0.6201171875,0.05746259540319443,11.176474571228027
1648,-0.8858816623687744,0.8188419938087463,
1649,,,8.727131843566895
1717,-0.8140534162521362,1.1085492372512817,8.403904914855957
1759,,1.1588289737701416,
1760,-0.9122186899185181,,9.395133972167969
1821,-0.8236305117607117,1.472478985786438,9.174860954284668
1903,-0.56504887342453,1.7765519618988037,9.862017631530762
1952,-0.6416656374931335,1.8603515625,10.623396873474121
2015,-0.9337671995162964,1.8675343990325928,10.688042640686035
2070,0.13407939672470093,1.9154198169708252,9.92426872253418
2120,-0.004788549616932869,0.4261809289455414,11.820534706115723
2186,,0.8667274713516235,
2187,0.07182824611663818,,10.118205070495605
2238,,0.3663240373134613,
2239,0.5027977228164673,,9.605830192565918
2328,,0.5027977228164673,
2329,0.05506832152605057,,9.629773139953613
2378,-0.10534809529781342,1.1971373558044434,
2379,,,8.212362289428711
2430,,1.1516461372375488,
2431,-0.04788549616932869,,9.407105445861816
2486,-0.13886794447898865,1.381496548652649,9.735121726989746
2554,-0.06464541703462601,1.8531687259674072,9.627379417419434
2607,-0.06225114315748215,2.0231621265411377,9.909903526306152
2660,-0.14365649223327637,1.7573976516723633,11.147743225097656
2728,-0.5506832003593445,2.4301888942718506,9.794978141784668
2791,-0.6177229285240173,0.07422251999378204,13.254705429077148
2842,-0.5171633362770081,0.7685621976852417,9.368797302246094
2902,-0.742225170135498,0.7087053656578064,8.839662551879883
2972,-0.6105400919914246,0.21548473834991455,10.561145782470703
3030,,1.228263020515442,
3031,-0.5818088054656982,,8.152505874633789
3095,-0.67518550157547,1.3360053300857544,8.80135440826416
3143,-0.7541965842247009,1.3383996486663818,9.919480323791504
3213,-0.8595446348190308,1.9154198169708252,9.419076919555664
3271,-0.9648927450180054,2.264983892440796,9.964971542358398
3318,-1.0486923456192017,2.382303476333618,10.513260841369629
3378,-1.053480863571167,2.4637088775634766,10.870007514953613
3439,0.13168510794639587,0.766167938709259,10.534809112548828
3498,-0.4070267081260681,0.5458946824073792,11.09267520904541
3561,0.2011190801858902,0.8834874033927917,8.569109916687012
3618,,0.17957061529159546,
3619,-0.11013664305210114,,10.836487770080566
3679,,1.3479766845703125,
3680,-0.8044763207435608,,8.71276569366455
3755,,1.7909175157546997,
3757,-0.6296942830085754,,8.023215293884277
3809,-0.3016786277294159,1.532335877418518,10.087080001831055
3860,-0.4142095446586609,1.9417568445205688,9.692024230957031
3930,-0.45012366771698,2.0542876720428467,10.652128219604492
3989,-0.4620950520038605,1.8603515625,10.666494369506836
4059,-0.5004034638404846,2.791724443435669,9.498087882995605
4109,-0.1604164093732834,0.3471698462963104,12.062356948852539
4166,-0.7781392931938171,0.4620950520038605,10.597060203552246
4228,-0.8810931444168091,0.7470137476921082,9.06472396850586
4286,-1.0151724815368652,0.282524436712265,
4287,,,10.407912254333496
4356,-0.5363175868988037,1.1636176109313965,8.298556327819824
4413,-0.6584255695343018,1.331216812133789,9.337671279907227
4469,,1.240234375,
4470,-0.8906702399253845,,9.957788467407227
4522,-0.8356019258499146,1.75021493434906,8.947404861450195
4593,-0.6153286099433899,1.843591570854187,9.483722686767578
4654,-0.8834874033927917,1.6807808876037598,10.640157699584961
4706,-1.4245935678482056,2.451737403869629,
4707,,,10.122993469238281
4761,-0.011971374042332172,0.08379961550235748,12.206012725830078
4854,-0.33519846200942993,0.5865973234176636,11.19323444366455
4880,0.33280420303344727,0.3663240373134613,
4900,,,9.507665634155273
4959,-0.21069619059562683,0.1245022863149643,10.242707252502441
5015,,1.1420691013336182,
5016,-0.5123748183250427,,7.925049781799316
5061,-0.12689656019210815,1.0846065282821655,9.191620826721191
5128,-0.1652049571275711,0.9768640995025635,9.687235832214355
5182,-0.2609759569168091,1.6783866882324219,8.949799537658691
5258,,1.8076775074005127,
5259,-0.5243461728096008,,9.636956214904785
5313,-0.2705530524253845,1.2785427570343018,10.881978988647461
5363,-0.04309694468975067,1.7238779067993164,10.434249877929688
5436,-0.5171633362770081,-0.33519846200942993,13.549201011657715
5485,-0.7158881425857544,0.6799740195274353,9.553156852722168
5562,-0.5842030644416809,1.0032011270523071,
5563,,,8.468549728393555
5614,,-0.38068968057632446,
5615,-0.3184385597705841,,12.273052215576172
5673,-0.29210153222084045,0.8643332123756409,8.090254783630371
5744,-0.6129343509674072,1.0917893648147583,8.882759094238281
5791,-0.6320885419845581,1.082212209701538,9.790189743041992
5845,-0.5530774593353271,1.4581133127212524,9.167677879333496
5916,-0.38787251710891724,1.5969812870025635,10.225947380065918
5979,-0.2849186956882477,1.5299415588378906,10.881978988647461
6030,-0.7182824611663818,2.6791934967041016,9.495694160461426
6083,0.08140534162521362,0.3136500120162964,11.540404319763184
6142,-0.37590113282203674,0.7948992252349854,10.884373664855957
6205,0.04788549616932869,1.0319324731826782,8.406298637390137
6263,-0.15802213549613953,-0.19154198467731476,11.1836576461792
6333,-0.43336373567581177,1.2665714025497437,8.897125244140625
6397,-0.15562786161899567,1.3168511390686035,8.475732803344727
6449,-0.10295381397008896,0.9098244309425354,9.979337692260742
6505,0.03591412305831909,1.6520496606826782,9.196409225463867
6572,0.14365649223327637,1.721483588218689,10.039194107055664
6653,-0.12689656019210815,1.8196488618850708,10.498894691467285
6709,,1.9441511631011963,
6710,-0.24421602487564087,,10.587483406066895
6744,-0.5195576548576355,2.906649589538574,9.790189743041992
6805,-0.3136500120162964,0.13407939672470093,11.976162910461426
6876,-0.4070267081260681,-0.07182824611663818,11.099858283996582
6932,-0.282524436712265,0.8834874033927917,8.138139724731445
6983,,0.07901106774806976,
6984,-0.1771763414144516,,11.33210277557373
7064,-0.2370332032442093,0.5530774593353271,9.021627426147461
7119,-0.35195839405059814,1.1516461372375488,8.142929077148438
7180,-0.8571503758430481,1.2138973474502563,9.385557174682617
7229,-0.9170072674751282,1.2737542390823364,9.845257759094238
7283,-0.6464542150497437,1.9489396810531616,9.284997940063477
7344,-0.6249057054519653,2.238646984100342,9.821314811706543
7427,-0.8068706393241882,2.2170984745025635,10.565935134887695
7478,-1.0343266725540161,2.3008980751037598,10.439038276672363
7539,0.14365649223327637,0.8547561168670654,10.759870529174805
7585,-0.42139238119125366,0.06943397223949432,12.368824005126953
7649,0.03591412305831909,1.1755889654159546,7.661679267883301
